,brandnm,goodsnm,USER,reg_date,order_date,p_type,sub_type,app_yn,4days,7days
293,Bottega Veneta,intrecciato cross body bag green,a1146029,2021-02-10,2021-03-05,7days,BA,Y,38170,48170
294,Off White,lettering point bag white,a1148102,2021-03-03,2021-03-05,4days,BA,Y,35670,45670
295,Bottega Veneta,foldover top cross bag black,a1148278,2021-03-05,2021-03-05,4days,BA,Y,38170,48170
296,Saint Laurent,quilted calfskin shoulder bag,a1148237,2021-03-04,2021-03-04,4days,BA,N,45670,55670
297,Louis Vuitton,galliera gm Shoulder hobo Bag white,a1148221,2021-03-04,2021-03-04,7days,BA,Y,46580,56580
298,Gucci,wood handle dionysus bag,a1148179,2021-03-04,2021-03-04,4days,BA,N,46300,56300
299,Gucci,Mickeymouse Round Shoulder Bag,a1102068,2020-05-29,2021-03-04,7days,BA,Y,46300,56300
300,Celine,monogram tote bag beige,a1148131,2021-03-03,2021-03-03,7days,BA,Y,45500,55500
301,Salvatore Ferragamo,ginny cross bag navy,a1148155,2021-03-03,2021-03-03,7days,BA,Y,39000,49000
302,Clu,jaxsra bag beige,a1146765,2021-02-17,2021-03-03,7days,BA,Y,34000,44000
303,Christian Dior,bobby bag black,a1144916,2021-01-30,2021-03-03,7days,BA,Y,45670,55670
304,Vivienne Westwood,nappa clasp chain bag,a160736,2019-12-04,2021-03-03,4days,BA,Y,34000,44000
305,Louis Vuitton,Pochette trunk vertical black bag,a1148115,2021-03-03,2021-03-03,4days,BA,Y,46580,56580
306,Coach,graphic point two way bag ivory,a1147981,2021-03-02,2021-03-03,4days,BA,Y,33620,43620
307,Prada,color strap shoulder bag navy,a1148019,2021-03-02,2021-03-03,7days,BA,Y,39000,49000
308,Dolce & Gabbana,leopard pattern buckle bag,a1104837,2020-06-17,2021-03-02,4days,BA,Y,37330,47330
309,Chloe,drew bag beige,a1147704,2021-02-27,2021-03-02,4days,BA,Y,35150,45150
310,Maison Margiela,Bucket black bag,a1110424,2020-08-05,2021-03-02,7days,BA,Y,39000,49000
311,Chanel,fold over chain cross bag,a1141604,2021-01-07,2021-03-02,7days,BA,Y,47330,57330
312,Dior,croisiere patent lady bag navy,a1147803,2021-02-28,2021-03-02,7days,BA,Y,49000,59000
313,Gucci,vintage web GG two way bag brown,a1117218,2020-08-30,2021-03-02,7days,BA,Y,46300,56300
314,Gucci,microssima emily mini bag black,a1147942,2021-03-01,2021-03-01,7days,BA,Y,46300,56300
315,Burberry,check mackenzie cross bag pink,a1147938,2021-03-01,2021-03-01,7days,BA,Y,36120,46120
316,Yves Saint Laurent,logo point clutch bag pink,a119721,2019-04-10,2021-03-01,7days,BA,Y,46500,56500
317,Prada,saffiano lux M gray,a1146069,2021-02-11,2021-03-01,7days,BA,Y,39000,49000
318,Dior,croisiere patent lady bag,a1127813,2020-10-31,2021-01-14,4days,BA,Y,49000,59000
319,Christian Dior,croisiere patent lady bag,a1144515,2021-01-26,2021-01-28,4days,BA,Y,45670,55670
320,Dior,croisiere patent lady bag,a1121708,2020-09-28,2021-01-21,4days,BA,Y,49000,59000
321,Dior,croisiere patent lady bag,a1149454,2021-03-15,2021-03-15,7days,BA,Y,49000,59000
322,Dior,croisiere patent lady bag,a1148229,2021-03-04,2021-03-04,4days,BA,N,49000,59000
323,Gucci,padlock GG canvas shoulder bag,a143862,2019-09-29,2021-01-14,4days,BA,Y,46300,56300
324,Gucci,padlock GG canvas shoulder bag,a186345,2020-03-04,2021-01-21,7days,BA,Y,46300,56300
325,Gucci,padlock GG canvas shoulder bag,a1146405,2021-02-14,2021-02-24,7days,BA,Y,46300,56300
326,Gucci,padlock GG canvas shoulder bag,a1146641,2021-02-16,2021-02-19,7days,BA,Y,46300,56300
327,Gucci,padlock GG canvas shoulder bag,a1146881,2021-02-18,2021-02-18,4days,BA,N,46300,56300
328,Gucci,padlock GG canvas shoulder bag,a1146195,2021-02-12,2021-02-12,4days,BA,Y,46300,56300
329,Gucci,padlock GG canvas shoulder bag,a1145515,2021-02-04,2021-02-05,4days,BA,Y,46300,56300
330,Gucci,padlock GG canvas shoulder bag,a1151004,2021-03-27,2021-03-27,4days,BA,Y,46300,56300
331,Gucci,padlock GG canvas shoulder bag,a1147230,2021-02-22,2021-03-09,7days,BA,Y,46300,56300
332,Gucci,flap cross bag black,a1141099,2021-01-04,2021-01-13,4days,BA,Y,46300,56300
333,Gucci,flap cross bag black,a1151181,2021-03-28,2021-03-31,7days,BA,Y,46300,56300
334,Gucci,flap cross bag black,a1150885,2021-03-26,2021-03-26,7days,BA,Y,46300,56300
335,Gucci,flap cross bag black,a1150521,2021-03-23,2021-03-24,4days,BA,Y,46300,56300
336,Gucci,flap cross bag black,a1149522,2021-03-15,2021-03-16,4days,BA,Y,46300,56300
337,Gucci,flap cross bag black,a1148298,2021-03-05,2021-03-10,7days,BA,Y,46300,56300
338,Gucci,flap cross bag black,a1146005,2021-02-10,2021-03-03,4days,BA,Y,46300,56300
339,Gucci,vintage web shoulder bag black,a1139204,2020-12-22,2021-01-13,7days,BA,Y,46300,56300
340,Gucci,vintage web shoulder bag black,a1147714,2021-02-27,2021-02-27,7days,BA,Y,46300,56300
341,Gucci,vintage web shoulder bag black,a1145410,2021-02-03,2021-02-06,7days,BA,Y,46300,56300
342,Gucci,vintage web shoulder bag black,a1144530,2021-01-26,2021-02-02,4days,BA,N,46300,56300
343,Gucci,vintage web shoulder bag black,a110727,2018-10-27,2021-03-31,4days,BA,N,46300,56300
344,Saint Laurent,chevron quilted cross bag black,a1140871,2021-01-02,2021-01-13,4days,BA,Y,45670,55670
